user_id,event_type,event_time,platform
1,signup,2026-04-11 17:07:46.548718,iOS
1,view_item,2026-04-12 17:07:46.548718,iOS
1,signup,2026-04-14 17:07:46.548718,iOS
1,signup,2026-04-13 17:07:46.548718,iOS
1,purchase,2026-04-12 17:07:46.548718,iOS
1,view_item,2026-04-15 17:07:46.548718,iOS
2,signup,2026-04-15 09:57:46.548718,Web
2,purchase,2026-04-20 09:57:46.548718,Web
2,sign_up,2026-04-17 09:57:46.548718,Web
2,purchase,2026-04-15 09:57:46.548718,Web
2,,2026-04-18 09:57:46.548718,Web
2,,2026-04-17 09:57:46.548718,Web
2,,2026-04-17 09:57:46.548718,Web
3,signup,2026-04-12 13:28:46.548718,Android
3,view_item,2026-04-12 13:28:46.548718,Android
3,purchase,2026-04-13 13:28:46.548718,Android
3,view_item,2026-04-14 13:28:46.548718,Android
3,signup,2026-04-17 13:28:46.548718,Android
4,signup,2026-04-14 17:21:46.548718,iOS
4,view_item,2026-04-19 17:21:46.548718,iOS
4,,2026-04-17 17:21:46.548718,iOS
4,purchase,2026-04-16 17:21:46.548718,iOS
4,purchase,2026-04-15 17:21:46.548718,iOS
4,view_item,2026-04-14 17:21:46.548718,iOS
5,signup,2026-04-14 12:00:46.548718,Web
5,purchase,2026-04-16 12:00:46.548718,Web
5,purchase,2026-04-16 12:00:46.548718,Web
5,view_item,2026-04-17 12:00:46.548718,Web
5,signup,2026-04-15 12:00:46.548718,Web
5,purchase,2026-04-18 12:00:46.548718,Web
6,signup,2026-04-15 17:55:46.548718,Android
6,singup,2026-04-19 17:55:46.548718,Android
7,signup,2026-04-14 11:19:46.548718,Android
7,signup,2026-04-16 11:19:46.548718,Android
7,signup,2026-04-19 11:19:46.548718,Android
7,signup,2026-04-16 11:19:46.548718,Android
8,signup,2026-04-10 19:49:46.548718,Android
8,,2026-04-11 19:49:46.548718,Android
8,view_item,2026-04-13 19:49:46.548718,Android
8,Signup,2026-04-12 19:49:46.548718,Android
9,signup,2026-04-15 11:41:46.548718,Android
9,view_item,2026-04-20 11:41:46.548718,Android
9,view_item,2026-04-20 11:41:46.548718,Android
9,,2026-04-17 11:41:46.548718,Android
9,,2026-04-17 11:41:46.548718,Android
9,purchase,2026-04-15 11:41:46.548718,Android
10,signup,2026-04-14 15:01:46.548718,iOS
10,view_item,2026-04-18 15:01:46.548718,iOS
10,purchase,2026-04-19 15:01:46.548718,iOS
10,purchase,2026-04-17 15:01:46.548718,iOS
10,purchase,2026-04-17 15:01:46.548718,iOS
11,signup,2026-04-13 17:01:46.548718,Web
11,singup,2026-04-14 17:01:46.548718,Web
11,view_item,2026-04-13 17:01:46.548718,Web
12,signup,2026-04-11 04:10:46.548718,Android
12,purchase,2026-04-16 04:10:46.548718,Android
12,Signup,2026-04-16 04:10:46.548718,Android
12,Signup,2026-04-16 04:10:46.548718,Android
12,purchase,2026-04-11 04:10:46.548718,Android
12,Signup,2026-04-12 04:10:46.548718,Android
12,purchase,2026-04-14 04:10:46.548718,Android
13,signup,2026-04-11 12:56:46.548718,Web
13,purchase,2026-04-16 12:56:46.548718,Web
13,signup,2026-04-12 12:56:46.548718,Web
14,signup,2026-04-10 06:07:46.548718,Web
14,,2026-04-14 06:07:46.548718,Web
15,signup,2026-04-12 21:10:46.548718,Web
15,purchase,2026-04-16 21:10:46.548718,Web
16,signup,2026-04-10 12:16:46.548718,Android
16,purchase,2026-04-11 12:16:46.548718,Android
16,view_item,2026-04-14 12:16:46.548718,Android
16,signup,2026-04-11 12:16:46.548718,Android
16,signup,2026-04-11 12:16:46.548718,Android
17,signup,2026-04-13 17:05:46.548718,Web
17,view_item,2026-04-15 17:05:46.548718,Web
17,view_item,2026-04-15 17:05:46.548718,Web
17,purchase,2026-04-17 17:05:46.548718,Web
17,purchase,2026-04-17 17:05:46.548718,Web
18,signup,2026-04-11 14:49:46.548718,Android
18,view_item,2026-04-15 14:49:46.548718,Android
18,view_item,2026-04-11 14:49:46.548718,Android
18,view_item,2026-04-11 14:49:46.548718,Android
18,,2026-04-12 14:49:46.548718,Android
19,signup,2026-04-14 02:06:46.548718,Android
19,singup,2026-04-14 02:06:46.548718,Android
20,signup,2026-04-10 14:15:46.548718,Android
20,view_item,2026-04-12 14:15:46.548718,Android
20,signup,2026-04-14 14:15:46.548718,Android
20,purchase,2026-04-11 14:15:46.548718,Android
20,purchase,2026-04-14 14:15:46.548718,Android
21,signup,2026-04-09 21:35:46.548718,Web
21,purchase,2026-04-13 21:35:46.548718,Web
21,signup,2026-04-12 21:35:46.548718,Web
22,signup,2026-04-12 18:30:46.548718,Web
22,view_item,2026-04-17 18:30:46.548718,Web
22,,2026-04-15 18:30:46.548718,Web
22,signup,2026-04-15 18:30:46.548718,Web
23,signup,2026-04-14 08:54:46.548718,iOS
23,purchase,2026-04-17 08:54:46.548718,iOS
24,signup,2026-04-14 08:58:46.548718,Web
24,purchase,2026-04-16 08:58:46.548718,Web
24,Signup,2026-04-15 08:58:46.548718,Web
25,signup,2026-04-13 10:36:46.548718,Web
25,singup,2026-04-15 10:36:46.548718,Web
25,view_item,2026-04-15 10:36:46.548718,Web
25,purchase,2026-04-18 10:36:46.548718,Web
25,view_item,2026-04-18 10:36:46.548718,Web
26,signup,2026-04-15 08:18:46.548718,iOS
26,signup,2026-04-20 08:18:46.548718,iOS
26,Signup,2026-04-16 08:18:46.548718,iOS
26,purchase,2026-04-20 08:18:46.548718,iOS
26,Signup,2026-04-17 08:18:46.548718,iOS
26,purchase,2026-04-16 08:18:46.548718,iOS
27,signup,2026-04-16 05:03:46.548718,iOS
27,view_item,2026-04-18 05:03:46.548718,iOS
27,signup,2026-04-20 05:03:46.548718,iOS
27,purchase,2026-04-20 05:03:46.548718,iOS
27,view_item,2026-04-17 05:03:46.548718,iOS
28,signup,2026-04-12 10:00:46.548718,Android
28,purchase,2026-04-12 10:00:46.548718,Android
